IDCompositionDescription,CompositionDescription,CompositionDescriptionEnglish,CDFrench,CDItalian,CDSpanish,CDDeutch,CDPortugese,CDSwedish,CDAlbanian,CDRussian,CDSerbian
1,"ΝΕΡΟ","WATER","L'EAU","ACQUA","AGUA","WASSER","ÁGUA","VATTEN","uje",,"voda"
2,"ΑΛΕΥΡΙ ΣΙΤΟΥ","WHEAT FLOUR","FARINE","FARINA","HARINA","MEHL","FARINHA","MJ'O'L","MIELL",,"bra{no"
3,"ΑΜΥΛΟ","STARCH","AMIDON","AMIDO","ALMIDÓN","STÄRKE","STARCH",,"AMIDON",,"skrob"
4,"ΖΑΧΑΡΗ","SUGAR","SUCRE","ZUCCHERO","AZÚCAR","ZUCKER","AÇÚCAR","SOCKER","sheqer",,"{eker"
5,"ΑΜΥΛΟΣΙΡΟΠΙΟ","GLUCOSE SYRUP","SIROP DE GLUCOSE","SCIROPPO DEL GLUCOSIO","JARABE DE LA GLUCOSA","GLUKOSE-SIRUP","SYRUP DO GLUCOSE","ST'A'RKELSIRAP","shurup nishesteje",,"glikozen sirup"
6,"ΙΜΒΕΡΤΟΖΑΧΑΡΟ","INVERT SUGAR","SUCRE INVERTI","ZUCCHERO INVERTITO","AZÚCAR INVERTIDA","INVERTZUCKER","AÇÚCAR INVERT",,,,"inverten {eker"
8,"ΜΕΛΙ","HONEY","MIEL","MIELE","MIEL","HONIG","MEL","HONUNG","MJALTE",,"med"
9,"ΣΟΡΒΙΤΟΛΗ","SORBITOL","SORBITOL","SORBITOLO","SORBITOL","SORBIT","SORBITOL","SORBETOL","SORBITOL",,"sorbitol"
10,"ΣΤΑΦΙΔΙΝΗ","RAISIN SYRUP","SIROP DE RAISIN SEC","SCIROPPO DELL'UVA PASSA","JARABE DE LA PASA","ROSINE-SIRUP","SYRUP DO RAISIN","RUSSIN","stafidha",,"grozdov sirup"
11,"ΦΡΟΥΚΤΟΖΗ","FRUCTOSE","FRUCTOSE","FRUTTOSIO","FRUCTOSA","FRUCHTZUCKER","FRUCTOSE","FRUCTOS","fruktose",,"fruktoza"
12,"ΔΕΞΤΡΟΖΗ","DEXTROSE","DEXTROSE","DESTROSIO","DEXTROSA","TRAUBENZUCKER","DEXTROSE",,"dextrose",,"dekstroza"
13,"ΑΣΠΑΡΤΑΜΗ","ASPARTAME","ASPARTAME","ASPARTAME","ASPARTAME","ASPARTAM","ASPARTAME",,"ASPARTAME",,"aspartam"
14,"ΜΑΛΤΙΤΟΛΗ","MALTITOL","MALTITOL","MALTITOLO","MALTITOL","MALTITOL","MALTITOL",,"MALTITOL",,"malitol"
15,"ΓΛΥΚΑΝΤΙΚΟ:ΑΚΕΣΟΥΛΦΑΜΗ","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM","ACESULFAM",,,"acesulfam"
16,"ΙΣΟΜΑΛΤΙΤΟΛΗ","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT","ISOMALT",,"izomalt"
17,"ΞΥΛΙΤΟΛΗ","XYLITOL","XYLITOL","XILITOLO","XYLITOL","XYLITOL","XYLITOL",,"XYLITOL",,"ksilitol"
18,"ΝΕΟΕΣΠΕΡΙΔΙΝΗ","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE","NEOESPERIDINE",,"NEOESPERIDINE",,"neoespedrin"
19,"ΜΑΝΙΤΟΛΗ","MANITOL","MANITOL","MANITOL","MANITOL","MANITOL","MANITOL",,"MANITOL",,"manitol"
20,"ΜΑΛΤΟΔΕΞΤΡΙΝΗ","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE","MALTODEXTRINE",,"MALTIDEXTRINE",,"maltodekstrin"
22,"ΦΥΤΙΚΑ ΛΙΠΑΡΑ","VEGETABLE OILS","HUILES VÉGÉTALES","OLI VEGETALI","ACEITES VEGETALES","PFLANZENÖLE","ÓLEOS VEGETAIS","VEGETABILISK FET","yndyrna vegetale",,"rastitelni masla"
23,"ΒΟΥΤΥΡΟ","BUTTER","BEURRE","BURRO","MANTEQUILLA","BUTTER","MANTEIGA","SM'O'R","GJALPE",,"puter"
24,"ΚΑΡΥΔΑ","COCONUT","NOIX DE COCO","NOCE DI COCCO","COCO","KOKOSNUSS","COCO",,"ARRE",,"kokos"
25,"ΚΑΡΥΔΙ","WALNUT","NOIX","NOCE","NUEZ","WALNUSS","NOZ","VALLNOTTER","ARRE KOKOSI",,"orev"
26,"ΑΜΥΓΔΑΛΟ","ALMONDS","AMANDES","MANDORLE","ALMENDRAS","MANDELN","AMÊNDOAS","MANDEL","bajame",,"Bademi"
27,"ΦΥΣΤΙΚΙ","PEANUTS","ARACHIDES","ARACHIDI","CACAHUETES","ERDNÜSSE","AMENDOINS","JORDN'O'T","kikirike",,"kikiriki"
30,"ΔΑΜΑΣΚΗΝΑ","DAMSON","QUETSCHE","SUSINA SELVATICA","CIRUELA DAMASCENA","DAMASZENERPFLAUME","DAMSON",,,,"modra sliva"
31,"ΒΕΡΥΚΟΚΑ","APRICOT","ABRICOT","ALBICOCCA","ALBARICOQUE","APRIKOSE","ALPERCE",,"KAJSI",,"kajsija"
33,"ΣΥΚΑ","FIGS","Figues","Figs","Higos","Feigen","Figs","FIKON","fiq",,"smokvi"
34,"ΦΟΥΝΤΟΥΚΙΑ","NUTS","ÉCROUS","DADI","TUERCAS","NÜSSE","PORCAS","HASSELN'O'T","paste lajthie",,"orev"
35,"ΗΛΙΟΣΠΟΡΟΣ","SUNFLOWER SEED","GRAINE DE TOURNESOL","SEME DI GIRASOLE","SEMILLA DE GIRASOL","SONNENBLUMENSAMEN","SEMENTE DE SUNFLOWER",,"LULE DI ELLI",,"son~ogledovo seme"
36,"ΑΡΩΜΑΤΑ","FLAVOURS","SAVEURS","SAPORI","SABORES","AROMEN","SABORES","AROMAMNE","aroma",,"aromi"
37,"ΚΑΚΑΟ","COCOA","CACAO","CACAO","CACAO","KAKAO","CACAU","KAKAO","KAKAO",,"kakao"
38,"ΣΟΚΟΛΑΤΑ","CHOCOLATE","CHOCOLAT","CIOCCOLATO","CHOCOLATE","SCHOKOLADE","CHOCOLATE","CHOKLAND","COKOLLATE",,"~okolado"
39,"ΑΠΟΜΙΜΗΣΗ ΣΟΚΟΛΑΤΑΣ","CHOCOLATE IMITATION","IMITATION DE CHOCOLAT","IMITAZIONE DEL CIOCCOLATO","IMITACIÓN DEL CHOCOLATE","SCHOKOLADE NACHAHMUNG","IMITATION DO CHOCOLATE","CHOKLAND IMMITATION",,,"imitacija od ~okolado"
40,"ΠΡΑΛΙΝΑ ΦΟΥΝΤΟΥΚΙΟΥ","NUT PRALINE","PRALINE D'ÉCROU","PRALINA DEL DADO","ALMENDRA GARAPIÑADA DE LA TUERCA","NUSS-PRALINE","PRALINE DA PORCA",,"paste lajthie",,
44,"ΒΟΥΤΥΡΟ ΚΑΚΑΟ","COCOA BUTTER","LE BEURRE DE CACAO","BURRO DI CACAO","MANTECA DE CACAO","KAKAO-BUTTER","MANTEIGA DE CACAU",,"GJALPE KAKAO",,"puter od kakao"
45,"ΓΑΛΑ","MILK","LAIT","LATTE","LECHE","MILCH","LEITE","MJOLK","qumesht",,"mleko"
46,"ΓΙΑΟΥΡΤΙ","YOGHURT","YAOURT","YOGURT","YOGUR","JOGHURT","YOGHURT","YOGURT","kos",,"jogurt"
47,"ΓΑΛΑ ΣΥΜΠΥΚΝΩΜΕΝΟ","MILK CONDENSED","LAIT CONDENSÉ","LATTE CONDENSATO","LECHE CONDENSADA","MILCH KONDENSIERT","LEITE CONDENSADO",,"qumesht I MPIKSUR",,"koncentrirano mleko"
48,"ΓΑΛΑ ΣΚΟΝΗ 1%","SKIM MILK POWDER","LAIT ÉCRÉMÉ EN POUDRE","LATTE SCREMATO IN POLVERE","POLVO DE LECHE DESNATADA","MAGERMILCHPULVER","PÓ DE LEITE DO SKIM","MJ'O'LKPULVER 1%","qumesht pluhur 1%",,"obezmasteno mleko vo prav"
49,"ΓΑΛΑ ΣΚΟΝΗ 26%","WHOLE MILK POWDER","LAIT ENTIER EN POUDRE","DI LATTE INTERO IN POLVERE","POLVO DE LECHE ENTERA","VOLLMILCH-PUDER","PÓ DE LEITE INTEIRO","MJ'O'LKPULVER 26%","qumesht pluhur 26%",,"polnomasno mleko vo prav"
50,"ΓΑΛΑΚΤΟΣ ΚΡΕΜΑ","MILK CREAM","CRÈME DE LAIT","CREMA DEL LATTE","CREMA DE LA LECHE","MILCH-CREME","CREME DO LEITE","GR'A'DDE","KREME qumesht",,"mle~en krem"
51,"ΓΑΛΑΚΤΟΣ ΟΡΟΣ","MILK WHEY","PETIT LAIT DE LAIT","SIERO DI LATTE DEL LATTE","SUERO DE LA LECHE","MILCH-MOLKE","WHEY DO LEITE",,"HIRRE qumesht",,"surutka"
52,"ΓΑΛΑΚΤΟΣ ΠΡΩΤΕΙΝΕΣ","MILK PROTEINS","PROTÉINES DU LAIT","PROTEINE DEL LATTE","PROTEÍNAS DE LECHE","MILCHPROTEINE","PROTEÍNAS DE LEITE",,"PROTEINA qumeshti",,"mle~ni proteini"
53,"ΑΥΓO","EGG","OEUF","UOVO","HUEVO","EI","OVO"," 'A'GG","VEZE",,"jajca"
54,"ΠΟΡΤΟΚΑΛΙΑ","ORANGE","ORANGE","ARANCIONE","ANARANJADO","ORANGE","ALARANJADO",,"PORTOKALL",,"portokal"
55,"ΛΕΜΟΝΙΑ","LEMON","CITRON","LIMONE","LIMÓN","ZITRONE","LIMÃO",,"LIMON",,"limon"
56,"ΑΥΓΟΥ ΑΛΒΟΥΜΙΝΗ","EGG ALBUMIN","OVALBUMINE","ALBUME","ALBÚMINA","EIALBUMIN","ALBUMINA DE OVO",,"ALBUMINE",,"belka od jajce"
57,"ΑΥΓΟΥ ΚΡΟΚΟΣ","EGG YOLK","JAUNE D'OEUF","TUORLO D'UOVO","YEMA DE HUEVO","EIDOTTER","YOLK DE OVO",,,,"`ol~ka od jajce"
58,"BAKING POWDER","BAKING POWDER","LEVAIN EN POUDRE","LIEVITO","LEVADURA EN POLVO","BACKPULVER","PÓ DE BAKING","BAKPULVER",,,"pra{ok za pecivo"
59,"ΣΟΔΑ","SODA","SOUDE","SODA","SODA","SODA","SODA","SODA","SODE",,"soda"
60,"ΔΙΟΓΚΩΤΙΚΟ:ΑΜΜΩΝΙΑ","AMMONIA","AMMONIAQUE","AMMONIACA","AMONÍACO","AMMONIAK","AMÔNIA","AMMONIAK","AMONJAK",,"amonijak"
61,"ΑΛΑΤΙ","SALT","SEL","SALE","SAL","SALZ","SAL","SALT","kripe",,"sol"
62,"ΜΕΣΟ ΟΞΙΝΙΣΗΣ:ΚΙΤΡΙΚΟ ΟΞΥ","CITRIC ACID","ACIDE CITRIQUE","ACIDO CITRICO","ÁCIDO CÍTRICO","ZITRONENSÄURE","ÁCIDO CITRIC","CITRONSYRA","ACID KITRIK",,"limonska kiselina"
63,"Συντηρητικό ΣΟΡΒΙΚΟ ΚΑΛΙΟ","Preservative SODIUM SORBATE","SORBATE de SODIUM Préservatif","SORBATO del SODIO Preservativo","SORBATE Preservativo del SODIO","Konservierendes NATRIUMSORBAT","SORBATE Preservativo do SODIUM","KALIUM SORBAT",,,"natrium sorbat"
64,"ΑΝΘΡΑΚΙΚΟ ΑΣΒΕΣΤΙΟ","CALCIUM BICARBONATE","BICARBONATE DE CALCIUM","BICARBONATO DEL CALCIO","BICARBONATO DEL CALCIO","KALZIUMBICARBONAT","BICARBONATO DO CÁLCIO",,,,"kalcium bikarbonat"
65,"ΜΟΝΟΓΛΥΚΕΡΙΔΙΑ","MONOGLYCERIDES","MONOGLYCÉRIDES","MONOGLICERIDI","MONOGLICÉRIDOS","MONOGLYZERIDE","MONOGLYCERIDES",,,,"monogliceridi"
66,"ΜΑΓΙΑ","YEAST","LEVURE","LIEVITO","LEVADURA","HEFE","FERMENTO",,"MAJA",,"kvasec"
67,"ΛΕΚΙΘΙΝΗ","LECITHIN","LÉCITHINE","LECITINA","LECITINA","LEZITHIN","LECITHIN",,,,"lecitin"
68,"ΚΟΜΜΙ ΞΑΝΘΑΝ","XANTHAN GUM","GOMME DE XANTHANE","GOMMA DEL XANTANO","GOMA DEL XANTHAN","XANTHAN-GUMMI","GUM DO XANTHAN",,"KOM XANTHAN",,"ksantan gam"
69,"ΚΟΜΜΙ ΓΚΟΥΑΡ","GUAR GUM","GOMME DE GUAR","GOMMA DEL GUAR","GOMA DEL GUAR","GUAR-GUMMI","GUM DO GUAR",,"KOM GUAR",,"guar gam"
70,"ΚΟΜΜΙ ΑΡΑΒΙΚΟ","GUM ARABIC","GOMME ARABIQUE","GOMMA ARABICA","ÁRABE DE LA GOMA","GUMMIARABIKUM","ÁRABE DO GUM",,"KOM ARABIK",,"gumarabika"
71,"ΖΑΧΑΡΟΠΗΚΤΑ ΦΡΟΥΤΑ","SUGARED FRUITS","FRUITS SUCRÉS","FRUTTE ZUCCHERATE","FRUTAS AZUCARADAS","GEZUCKERTE FRÜCHTE","FRUTAS SUGARED","FRUKTKOPMOTT",,,"kandirano ovo{je"
72,"ΜΑΡΜΕΛΑΔΑ","JAM","CONFITURE","INCEPPAMENTO","ATASCO","STAU","ATOLAMENTO","MARMELAD","MARMALATE FTOI",,"xem"
76,"ΜΗΛΟ ΖΕΛΕ","APPLE GEL","GEL DE APPLE","GEL DEL APPLE","GEL DE APPLE","APPLE GEL","GEL DE APPLE",,,,"`ele od jabolko"
80,"ΤΑΧΙΝΙ","SESAME PASTE","PÂTE DE SÉSAME","COLLA DEL SESAMO","GOMA DEL SÉSAMO","SESAM-PASTE","PASTA DO SESAME",,,,"pire od susam"
81,"ΑΜΥΓΔΑΛΟΠΑΣΤΑ","ALMOND PASTE","PÂTE D'AMANDE","COLLA DELLA MANDORLA","GOMA DE LA ALMENDRA","MANDEL-PASTE","PASTA DA AMÊNDOA",,"paste bajame",,"pire od badem"
82,"BRANDY","BRANDY","EAU-DE-VIE FINE","BRANDY","BRANDY","WEINBRAND","CONHAQUE",,,,"brendi"
83,"ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ","PAF PASTRY SHEET","FEUILLE DE PÂTISSERIE DE PAF","FOGLIO DELLA PASTICCERIA DI PAF","HOJA DE LOS PASTELES DE PAF","PAF GEBÄCK-BLATT","FOLHA DO PASTRY DE PAF","SKORPALAGER",,,"lisnato testo"
84,"ΦΡΥΓΑΝΙΑ","RUSK","BISCOTTE","FETTA BISCOTTATA","BIZCOCHO TOSTADO","ZWIEBACK","RUSK","ROSTATBR'O'D",,,"dvopek"
146,"ΛΟΥΚΟΥΜΙ","TURKISH DELIGHT","PLAISIR TURC","PIACERE TURCO","PLACER TURCO","TÜRKISCHE FREUDE","PRAZER TURKISH",,,,"lokum"
150,"ΚΑΦΕΣ","COFFEE","CAFÉ","CAFFÈ","CAFÉ","KAFFEE","CAFÉ",,,,
151,"ΧΥΜΟΣ ΦΡΟΥΤΩΝ","FRUIT JUICE","JUS DE FRUIT","SUCCO DI FRUTTA","ZUMO DE FRUTA","FRUCHTSAFT","SUCO DE FRUTA","FRUCTSAFT",,,
152,"ΑΒΟΚΑΝΤΟ","AVOCADO","AVOCAT","AVOCADO","AGUACATE","AVOCADO","ABACATE",,,,
163,"ΑΡΝΙ ΜΠΟΥΤΙ","LAMB","AGNEAU","AGNELLO","CORDERO","LAMM","CORDEIRO",,,,
166,"ΑΥΓΑ ΟΡΤΥΚΙΟΥ","EGG, QUAIL","OEUF, CAILLE","UOVO, QUAGLIA","HUEVO, CODORNIZ","EI, WACHTEL","OVO, CODORNIZ",,,,
168,"ΑΥΓΑ ΧΗΝΑΣ","EGG, GOOSE","OEUF, OIE","UOVO, OCA","HUEVO, GANSO","EI, GANS","OVO, GANSO",,,,
170,"ΑΥΓΟ ΠΑΠΙΑΣ","EGG, DUCK","OEUF, CANARD","UOVO, ANATRA","HUEVO, PATO","EI, ENTE","OVO, PATO",,,,
177,"ΑΧΛΑΔΙΑ","PEAR","POIRE","PERA","PERA","BIRNE","PERA",,,,
178,"ΒΑΝΙΛΙΑ ΕΚΧΥΛΙΣΜΑ","VANILLA EXTRACT","EXTRAIT DE VANILLE","ESTRATTO DELLA VANIGLIA","EXTRACTO DE LA VAINILLA","VANILLE-EXTRAKT","EXTRATO DO VANILLA",,,,
179,"ΒΑΤΟΜΟΥΡΑ","BLACKBERRY","MÛRE","MORA","ZARZAMORA","BROMBEERE","AMORA",,,,
182,"ΒΡΩΜΗ","OAT","AVOINE","AVENA","AVENA","HAFER","AVEIA",,,,
184,"ΒΥΣΣΙΝΑ","SOUR CHERRY","GRIOTTE","AMARENA","CEREZA AMARGA","SAUERKIRSCHE","CEREJA SOUR",,,,
187,"ΓΑΛΑ ΚΑΤΣΙΚΑΣ","GOAT MILK","LAIT DE CHÈVRE","LATTE DELLA CAPRA","LECHE DE LA CABRA","ZIEGE-MILCH","LEITE DA CABRA",,,,
188,"ΓΑΛΑ ΠΡΟΒΑΤΟΥ","SHEEP MILK","LAIT DE MOUTONS","LATTE DELLE PECORE","LECHE DE LAS OVEJAS","SCHAF-MILCH","LEITE DOS CARNEIROS",,,,
189,"ΓΑΛΟΠΟΥΛΑ","TURKEY","DENDE",,,,,,,,
193,"ΓΛΟΥΤΕΝΗ","GLUTEN","GLUTEN","GLUTINE","GLUTEN","GLUTEN","GLUTEN",,,,
194,"ΓΛΥΚΑΝΙΣΟΣ ΣΠΟΡΟΙ","ANISE SEEDS","GRAINES D'ANIS","SEMI DELL'ANICE","SEMILLAS DEL ANÍS","ANIS-SAMEN","SEMENTES DO ANIS",,,,
195,"ΓΛΥΚΟΠΑΤΑΤΑ","YAM","IGNAME DE CHINE","IGNAME","ÑAME","YAMSWURZEL","YAM",,,,
197,"ΕΛΑΙΟΛΑΔΟ","OLIVE OIL","HUILE D'OLIVE","OLIO DI OLIVA","ACEITE DE OLIVA","OLIVENÖL","ÓLEO VERDE-OLIVA",,,,
198,"ΖΑΜΠΟΝ","HAM","JAMBON","PROSCIUTTO","JAMÓN","SCHINKEN","PRESUNTO",,,,
201,"ΖΑΧΑΡΗ ΚΑΦΕ","CANE SUGAR","SUCRE DE CANNE","ZUCCHERO DI CANNA","AZÚCAR DE BASTÓN","ROHRZUCKER","AÇÚCAR DE BASTÃO",,,,
205,"ΚΕΡΑΣΙΑ","CERISE","CERISE","CERISE","CERISE","CERISE","CERISE",,,,
206,"ΚΡΑΜΒΗ","CRAMBE","CRAMBE","CRAMBE","CRAMBE","MEERKOHL","CRAMBE",,,,
208,"ΛΟΥΚΑΝΙΚΑ ΒΡΑΣΤΑ","SAUSAGE","SAUCISSE","SALSICCIA","SALCHICHA","WURST","SAUSAGE",,,,
213,"ΜΑΚΑΡΟΝΙΑ","MACARONI","MACARONIS","MACCHERONI","MACARRONES","MAKKARONI","MACARRÃO",,,,
214,"ΜΑΝΓΚΟΣ","MANGOS","MANGUES","MANGHI","MANGOS","MANGOPFLAUMEN","MANGOS",,,,
216,"ΜΑΝΙΤΑΡΙΑ","MUSHROOM","CHAMPIGNON","FUNGO","SETA","PILZ","COGUMELO",,,,
218,"ΜΑΡΑΣΚΙΝΟ","MARASCHINO","MARASCHINO","MARASCHINO","MARASCHINO","MARASCHINO","MARASCHINO",,,,
222,"ΜΕΛΑΣΣΑ","MOLASSES","MÉLASSE","MELASSA","MELAZA","MELASSE","MELAÇO",,,,
226,"ΜΟΣΧΑΡΙ","BEEF","BOEUF","MANZO","CARNE DE VACA","RINDFLEISCH","CARNE",,,,
227,"ΜΟΥΣΤΑΡΔΑ","MUSTARD","MOUTARDE","SENAPE","MOSTAZA","SENF","MOSTARDA",,,,
228,"ΜΠΑΝΑΝΑ","BANANAS","BANANES","BANANE","PLÁTANOS","BANANEN","BANANAS",,,,
230,"ΜΠΕΙΚΟΝ","BACON","LARD","PANCETTA AFFUMICATA","TOCINO","SPECK","BACON",,,,
233,"ΟΡΟΣ ΓΑΛΑΚΤΟΣ","WHEY","PETIT LAIT","SIERO DI LATTE","SUERO","MOLKE","WHEY",,,,
235,"ΠΑΠΑΓΙΑ","PAPAYA","PAPAYE","PAPAIA","PAPAYA","PAPAYA","PAPAYA",,,,
236,"ΠΑΠΡΙΚΑ","PAPRIKA","PAPRIKA","PAPRICA","PAPRIKA","PAPRIKA","PAPRIKA",,,,
237,"ΠΑΤΑΤΑ","POTATO","POMME DE TERRE","PATATA","PATATA","KARTOFFEL","BATATA",,,,
240,"ΠΑΤΑΤΑΛΕΥΡΟ","POTATO FLOUR","FÉCULE DE POMMES DE TERRE","FECOLA DI PATATE","HARINA DE PATATA","KARTOFFELMEHL","FARINHA DE BATATA",,,,
241,"ΠΕΚΑΝ","PECAN","NOIX DE PÉCAN","PECAN","PACANA","PEKANNUSS","PECAN",,,,
242,"ΠΙΠΕΡΙ","PEPPER","POIVRE","PEPE","PIMIENTA","PFEFFER","PIMENTA",,,,
245,"ΡΑΒΕΝΤΙ","PIEPLANT","RHUBARBE","PIEPLANT","PIEPLANT","PIEPLANT","PIEPLANT",,,,
246,"ΡΑΠΑΝΑΚΙΑ","RADISH","RADIS","RAVANELLO","RÁBANO","RETTICH","RADISH",,,,
247,"ΡΟΔΑΚΙΝΑ","PEACH","PÊCHE","PESCA","MELOCOTÓN","PFIRSICH","PÊSSEGO",,,,
248,"ΡΥΖΑΛΕΥΡΟ","RICE FLOUR","FARINE DE RIZ","FARINA DEL RISO","HARINA DEL ARROZ","REIS-MEHL","FARINHA DO ARROZ",,,,
