IDCompositionDescription,CompositionDescription,CompositionDescriptionEnglish,CDFrench,CDItalian,CDSpanish,CDDeutch,CDPortugese,CDSwedish,CDAlbanian,CDRussian,CDSerbian
250,"ΡΥΖΙ","RICE","RIZ","RISO","ARROZ","REIS","ARROZ",,,,
252,"ΣΙΣΑΜΑΛΕΥΡΟ","SESAME FLOUR","FARINE DE SÉSAME","FARINA DEL SESAMO","HARINA DEL SÉSAMO","SESAM-MEHL","FARINHA DO SESAME",,,,
255,"ΣΙΣΑΜΙ","SESAME","SÉSAME","SESAMO","SÉSAMO","INDISCHER SESAM","SESAME",,,,
257,"ΣΙΡΟΠΙ ΣΥΚΩΝ","FIG SYRUP","SIROP DE FIGUE","SCIROPPO DEL FIG","JARABE DEL HIGO","FEIGE-SIRUP","SYRUP DO FIG",,,,
258,"ΣΙΤΑΡΙ","WHEAT","BLÉ","FRUMENTO","TRIGO","WEIZEN","TRIGO",,,,
260,"ΣΟΓΙΑ","SOYA","LE SOJA","SOIA","SOJA","SOJABOHNENÖL","SOYA",,,,
263,"ΣΟΛΟΜΟΣ","SALMON","SAUMONS","SALMONI","SALMONES","LACHSE","SALMÕES",,,,
264,"ΣΠΑΝΑΚΙ","SPINACH","ÉPINARDS","SPINACI","ESPINACA","SPINAT","SPINACH",,,,
265,"ΣΠΑΡΑΓΓΙΑ","ASPARAGUS","ASPERGE","ASPARAGO","ESPÁRRAGO","SPARGEL","ESPARGOS",,,,
266,"ΣΠΟΡΟΙ ΜΑΡΑΘΟΥ","FENNEL SEEDS","GRAINES DE FENOUIL","SEMI DEL FINOCCHIO","SEMILLAS DEL HINOJO","FENCHEL-SAMEN","SEMENTES DO FENNEL",,,,
270,"ΤΟΝΟΣ","TUNE","AIR","ARIA","CONSONANCIA","MELODIE","TUNE",,,,
288,"ΤΥΡΙ","CHEESE","FROMAGE","FORMAGGIO","QUESO","KÄSE","QUEIJO",,,,
292,"ΦΡΑΟΥΛΕΣ","STRAWBERRY","FRAISE","FRAGOLA","FRESA","ERDBEERE","STRAWBERRY",,,,
295,"ΠΗΚΤΙΝΗ","PECTIN","PECTINE","PECTINA","PECTINA","PEKTIN","PECTIN",,,,
297,"ΜΕΣΟ ΟΞΙΝΙΣΗΣ:ΜΗΛΙΚΟ ΟΞΥ","MALIC ACID","ACIDE MALIQUE","ACIDO MALICO","ÁCIDO MÁLICO","APFELSÄURE","ÁCIDO MALIC",,,,
298,"ΜΕΣΟ ΟΞΙΝΙΣΗΣ:ΚΙΤΡΙΚΟ ΤΡΙΝΑΤΡΙΟ","SODIUM CITRATE","CITRATE SODIQUE","CITRATO DI SODIO","CITRATO DE SODIO","NATRIUMZITRAT","CITRATO DE SODIUM",,,,
299,"ΓΑΛΑΚΤΙΚΟ ΟΞΥ","LACTIC ACID","ACIDE LACTIQUE","ACIDO LATTICO","ÁCIDO LÁCTICO","MILCHSÄURE","ÁCIDO LACTIC",,,,
300,"ΖΕΛΑΤΙΝΗ","GELATIN","GÉLATINE","GELATINA","GELATINA","GELATIN","GELATIN",,,,
301,"ΑΡΑΒΙΚΟ ΚΟΜΜΙ","GUM ARABIC","GOMME ARABIQUE","GOMMA ARABICA","ÁRABE DE LA GOMA","GUMMIARABIKUM","ÁRABE DO GUM",,,,
302,"ΑΣΚΟΡΒΙΚΟ ΟΞΥ","ASCORBIC ACID","ACIDE ASCORBIQUE","ACIDO ASCORBICO","ÁCIDO ASCÓRBICO","ASCORBINSÄURE","ÁCIDO ASCORBIC",,,,
304,"ΞΙΦΙΑΣ","SWORDFISH","ESPADONS","PESCI SPADA","PECES ESPADAS","SCHWERTFISCHE","SWORDFISH",,,,
305,"ΑΓΑΡ-ΑΓΑΡ","AGAR-AGAR","Agar-agar","Agar-agar","Agar-agar","Agar-Agar","Ágar-ágar",,,,
306,"ΑΓΓΟΥΡΙ","CUCUMBER","CONCOMBRE","CETRIOLO","PEPINO","GURKE","PEPINO",,,,
307,"ΑΛΓΙΝΙΚΑ ΑΛΑΤΑ","ALGINATES","ALGINATES","ALGINATI","ALGINATES","ALGINATE","ALGINATES",,,,
308,"ΑΜΑΡΑΝΘΟΣ","AMARANTH","AMARANTHE","AMARANTO","AMARANTO","AMARANT","AMARANTH",,,,
311,"ΑΣΤΑΚΟΣ","LOBSTER","LANGOUSTINE","ARAGOSTA","LANGOSTA","HUMMER","LAGOSTA",,,,
312,"ΑΥΓΟ ΓΑΛΟΠΟΥΛΑΣ","EGG,turkey","Oeuf, dinde","Uovo, tacchino","Huevo, pavo","Ei, Truthahn","Ovo, peru",,,,
313,"ΒΑΚΑΛΑΟΣ","COD","MORUE","MERLUZZO","BACALAO","KABELJAU","BACALHAU",,,,
315,"ΓΑΡΙΔΕΣ","PRAWN","CREVETTE ROSE","GAMBERETTO","GAMBA","GARNELE","CAMARÃO GRANDE",,,,
318,"ΓΛΩΣΣΑ","FLOUNDER","FLET","DIMENAMENTO","PLATIJA","SCHOLLE","SOLHA",,,,
319,"ΔΕΛΤΑ ΛΑΚΤΟΝΗ","DELTA LACTONE","LACTONE DE DELTA","LATTONE DI DELTA","LACTONA DEL DELTA","DREIECKSLAKTON","LACTONE DO DELTA",,,,
322,"ΕΛΙΕΣ","OLIVES","OLIVES","OLIVE","ACEITUNAS","OLIVEN","AZEITONAS",,,,
325,"ΚΑΒΟΥΡΟΨΥΧΑ","CRAB","CRABE","GRANCHIO","CANGREJO","KRABBE","CARANGUEJO",,,,
326,"ΚΑΖΕΙΝΙΚΟ ΝΑΤΡΙΟ","SODIUM CASEINATE","CASÉINATE DE SODIUM","CASEINATO DI SODIO","CASEINATE DE SODIO","NATRIUMKASEINAT","CASEINATE DE SODIUM",,,,
327,"ΚΑΚΑΟΜΑΖΑ","COCOA MASS","LA MASSE DE CACAO","MASSA DEL CACAO","MASA DEL CACAO","KAKAO-MASSE","MASSA DA CACAU",,,,
328,"ΚΑΛΑΜΑΡΙΑ","SQUID","CALMAR","CALAMARO","CALAMAR","KALMAR","CALAMAR",,,,
329,"ΚΑΡΑΓΕΝΑΝΗ","CARAGENAN","CARAGENAN","CARAGENAN","CARAGENAN","CARAGENAN","CARAGENAN",,,,
330,"CMC","CMC","CMC","CMC","CMC","CMC","CMC",,,,
331,"ΚΑΡΟΤΑ","CAROTS","CAROTS","CAROTS","CAROTS","CAROTS","CAROTS",,,,
332,"ΚΑΡΠΟΥΖΙ","WATER MELON","MELON D'EAU","ANGURIA","MELÓN DE AGUA","WASSERMELONE","MELON DE ÁGUA",,,,
333,"ΚΟΛΟΚΥΘΑΚΙΑ","COCZELLE","COCZELLE","COCZELLE","COCZELLE","COCZELLE","COCZELLE",,,,
334,"ΚΟΤΟΠΟΥΛΟ","CHICKEN","POULET","POLLO","POLLO","HUHN","GALINHA",,,,
337,"ΚΟΥΚΙΑ","BROAD BEANS PLANT","USINE DE FÈVES","PIANTA DELLE FAVE","PLANTA DE LAS HABAS","SAUBOHNE-BETRIEB","PLANTA DOS FEIJÕES LARGOS",,,,
338,"ΚΟΥΝΟΥΠΙΔΙ","CAULIFLOWER","CHOU-FLEUR","CAVOLFIORE","COLIFLOR","BLUMENKOHL","COUVE-FLOR",,,,
339,"ΚΟΧΛΙΟΙ","SNAIL","ESCARGOT","LUMACA","CARACOL","SCHNECKE","CARACOL",,,,
340,"ΚΡΑΣΙ","WINE","VIN","VINO","VINO","WEIN","VINHO",,,,
341,"ΚΡΕΜΟΡΙΟ","TARTARIC","TARTRIQUE","TARTARICO","TARTÁRICO","WEIN","TARTARIC",,,,
342,"ΚΡΕΜΥΔΙΑ","ONIONS","OIGNONS","CIPOLLE","CEBOLLAS","ZWIEBELN","CEBOLAS",,,,
344,"ΛΑΒΡΑΚΙ","BASSFISH","BASSFISH","BASSFISH","BASSFISH","BASSFISH","BASSFISH",,,,
345,"ΛΑΧΑΝΑΚΙΑ","BRUSSELS SPROUT","CHOU DE BRUXELLES","CAVOLINI DI BRUXELLES","COLES DE BRUSELAS","ROSENKOHL","SPROUT DE BRUXELAS",,,,
346,"ΛΕΜΟΝΑΔΑ ΣΚΟΝΗ","LEMONADE POWDER","POUDRE DE CITRONNADE","POLVERE DELLA LIMONATA","POLVO DE LA LIMONADA","LIMONADE-PUDER","PÓ DA LIMONADA",,,,
347,"ΛΟΥΚΑΝΙΚΑ ΓΑΛΟΠΟΥΛΑΣ ΚΑΠΝΙΣΤΑ","SAUSAGE TURKEY","SAUCISSE TURQUIE","SALSICCIA TURCHIA","SALCHICHA TURQUÍA","WURST DIE TÜRKEI","SAUSAGE TURQUIA",,,,
348,"ΛΟΥΚΑΝΙΚΑ ΜΟΣΧΑΡΙΣΙΑ","SAUSAGE BEEF","BOEUF DE SAUCISSE","MANZO DELLA SALSICCIA","CARNE DE VACA DE LA SALCHICHA","WURST-RINDFLEISCH","CARNE DO SAUSAGE",,,,
350,"ΛΟΥΚΑΝΙΚΑ ΧΟΙΡΙΝΑ","SAUSAGE PORK","PORC DE SAUCISSE","PORCO DELLA SALSICCIA","CERDO DE LA SALCHICHA","WURST-SCHWEINEFLEISCH","CARNE DE PORCO DO SAUSAGE",,,,
352,"ΜΑΓΙΟΝΕΖΑ","MAYONASE","MAYONASE","MAYONASE","MAYONASE","MAYONASE","MAYONASE",,,,
357,"ΜΑΡΟΥΛΙΑ","LETTUCE","LAITUE","LATTUGA","LECHUGA","KOPFSALAT","ALFACE",,,,
358,"ΜΕΛΙΤΖΑΝΕΣ","EGGPLANT","AUBERGINE","MELANZANA","BERENJENA","AUBERGINE","EGGPLANT",,,,
359,"ΜΗΛΑ","APPLES","POMMES","MELE","MANZANAS","ÄPFEL","MAÇÃS",,,,
361,"ΜΗΛΟ ΑΠΟΞΗΡΑΜΕΝΟ","APPLE POWDER","POUDRE DE APPLE","POLVERE DEL APPLE","POLVO DE APPLE","APPLE PUDER","PÓ DE APPLE",,,,
364,"ΜΟΡΤΑΔΕΛΛΑ","MORTADELLA","MORTADELLE","MORTADELLA","MORTADELA","MORTADELLA","MORTADELLA",,,,
368,"ΜΠΑΜΙΕΣ","GUMBO","GOMBO","GUMBO","GUMBO","GUMBO","GUMBO",,,,
369,"ΜΠΑΡΜΠΟΥΝΙ","BARBEL","BARBEL","BARBEL","BARBEL","BARBEL","BARBEL",,,,
370,"ΜΠΡΑΝΤΥ","BRANDY","EAU-DE-VIE FINE","BRANDY","BRANDY","WEINBRAND","CONHAQUE",,,,
371,"ΜΠΡΟΚΟΛΟ","BROCCOLI","BROCCOLI","BROCCOLO","BRÓCULI","BROKKOLI","BRÓCULOS",,,,
373,"ΝΙΦΑΔΕΣ ΒΑΤΟΜΟΥΡΟΥ","MURE FLACES","MURE FLACES","MURE FLACES","MURE FLACES","MURE FLACES","MURE FLACES",,,,
374,"ΝΙΦΑΔΕΣ ΚΑΡΟΤΟΥ","CAROT FLAKES","FLOCONS DE CAROT","FIOCCHI DI CAROT","ESCAMAS DE CAROT","CAROT FLOCKEN","FLOCOS DE CAROT",,,,
375,"ΝΙΦΑΔΕΣ ΜΗΛΟΥ","APPLE FLAKES","FLOCONS DE APPLE","FIOCCHI DEL APPLE","ESCAMAS DE APPLE","APPLE FLOCKEN","FLOCOS DE APPLE",,,,
376,"ΝΤΟΜΑΤΑ ΣΚΟΝΗ","TOMATO FLAKES","FLOCONS DE TOMATE","FIOCCHI DEL POMODORO","ESCAMAS DEL TOMATE","TOMATE-FLOCKEN","FLOCOS DO TOMATE",,,,
377,"ΝΤΟΜΑΤΕΣ","TOMATO","TOMATE","POMODORO","TOMATE","TOMATE","TOMATE",,,,
380,"ΟΡΟΣ ΓΑΛΑΚΤΟΣ ΣΚΟΝΗ","WHEY POWDER","POUDRE DE PETIT LAIT","POLVERE DEL SIERO DI LATTE","POLVO DEL SUERO","MOLKE-PUDER","PÓ DO WHEY",,,,
382,"ΠΑΝΤΖΑΡΙΑ","BEET","BETTERAVE","BARBABIETOLA","REMOLOCHA","ROTE RÜBE","BETERRABA",,,,
392,"ΡΕΒΥΘΙΑ","CHICK-PEA","Pois chiche","Cece","Garbanzo","Kichererbse","Grão-de-bico",,,,
394,"ΡΟΥΜΙ","RUM","RHUM","RUM","RON","RUM","RUM",,,,
395,"ΣΑΛΑΜΙ ΧΟΙΡΙΝΟ","SALAMI PORK","PORC DE SALAMI","PORCO DEL SALAME","CERDO DEL SALAMI","SALAMI-SCHWEINEFLEISCH","CARNE DE PORCO DO SALAMI",,,,
396,"ΣΑΡΔΕΛΛΑ","SARDINE","SARDINE","SARDINA","SARDINA","SARDINE","SARDINHA",,,,
397,"ΣΕΛΙΝΟ","CELERY","CÉLERI","SEDANO","APIO","SELLERIE","AIPO",,,,
398,"ΣΙΚΑΛΗ","RYE","SEIGLE","SEGALE","CENTENO","ROGGEN","CENTEIO",,,,
399,"ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ","ICE CREAM SYRUP","SIROP DE CRÊME GLACÉE","SCIROPPO DEL GELATO","JARABE DEL HELADO","EISCREME-SIRUP","SYRUP DO CREME DE GELO",,,,
401,"ΣΚΟΡΔΟ","GARLIC","AIL","AGLIO","AJO","KNOBLAUCH","GARLIC",,,,
402,"ΣΚΟΡΔΟ ΣΚΟΝΗ","GARLIC powder","Poudre d'AIL","Polvere dell'AGLIO","Polvo del AJO","KNOBLAUCH-Puder","Pó do GARLIC",,,,
404,"ΣΟΥΠΙΕΣ","CUTTLEFISH","SEICHES","SEPPIE","JIBIAS","KOPFFÜSSER","CHOCOS",,,,
408,"ΣΤΑΦΙΔΑ ΣΟΥΛΤΑΝΙΝΑ","RAISINS","RAISINS SECS","UVA PASSA","PASAS","ROSINEN","RAISINS",,,,
409,"ΣΤΑΦΙΔΕΣ","RAISINS","RAISINS SECS","UVA PASSA","PASAS","ROSINEN","RAISINS",,,,"suvo grozje"
411,"ΣΥΚΑ ΞΕΡΑ ","FIG DRY","FIGUE SÈCHE","FIG ASCIUTTO","HIGO SECO","FEIGE TROCKEN","FIG SECO",,,,
412,"ΣΥΚΩΤΙ","LIVER","FOIE","FEGATO","HÍGADO","LEBER","FÍGADO",,,,
413,"Συντηρητικό ΒΕΝΖΟΙΚΟ","Preservative VENZOIC","Préservatif VENZOIC","Preservativo VENZOIC","Preservativo VENZOIC","Konservierungsmittel VENZOIC","Preservativo VENZOIC",,,,
414,"Συντηρητικό ΠΡΟΠΙΟΝΙΚΟ","Preservative PROPIONIC","Préservatif PROPIONIQUE","Preservativo PROPIONICO","Preservativo PROPIONIC","Konservierungsmittel PROPIONIK","Preservativo PROPIONIC",,,,
416,"ΤΟΝΟΣΑΛΑΤΑ","TUNE","AIR","ARIA","CONSONANCIA","MELODIE","TUNE",,,,
418,"ΤΡΥΓΙΚΟ ΟΞΥ","TARTARIC ACID","ACIDE TARTRIQUE","ACIDO TARTARICO","ÁCIDO TARTÁRICO","WEINSÄURE","ÁCIDO TARTARIC",,,,
419,"ΦΑΚΕΣ","LENTIL","LENTILLE","LENTICCHIA","LENTEJA","LINSE","LENTIL",,,,
424,"ΧΟΙΡΙΝΟ","PORK MEAT","VIANDE DE PORC","CARNE SUINA","CARNE DE CERDO","SCHWEINEFLEISCH","CARNE DE CARNE DE PORCO",,,,
428,"ΧΤΑΠΟΔΙ","OCTAPUS","OCTAPUS","OCTAPUS","OCTAPUS","OCTAPUS","OCTAPUS",,,,
429,"ΓΑΛΑ ΦΥΤΙΚΑ ΛΙΠΑΡΑ ΣΚΟΝΗ 26%","MILK POWDER-VEGETABLE FATS 26%","GRAISSES De Poudre-légume de LAIT 26%","GRASSI Della Polvere-verdura del LATTE 26%","GRASAS Del Polvo-vehi'culo de la LECHE El 26%","MILCH Puder-Gemüse FETTE 26%","GORDURAS Do Pó-vegetal do LEITE 26%",,,,
430,"ΔΗΜΗΤΡΙΑΚΑ ΟΛΙΚΗΣ","CEREALS","CÉRÉALES","CEREALI","CEREALES","GETREIDE","CEREAIS",,,,
431,"ΠΡΑΣΣΟ","LEEK","POIREAU","PORRO","PUERRO","LAUCH","LEEK",,,,
432,"ΦΑΣΟΛΑΚΙΑ","FRESH BEAN","HARICOT FRAIS","FAGIOLO FRESCO","HABA FRESCA","FRISCHE BOHNE","FEIJÃO FRESCO",,,,
433,"ΦΑΣΟΛΙΑ","BEAN","HARICOT","FAGIOLO","HABA","BOHNE","FEIJÃO",,,,
434,"ΧΟΡΤΑ","GREENS","VERTS","VERDI","VERDES","GRÜNS","VERDES",,,,
435,"ΚΑΡΥΚΕΥΜΑΤΑ","FLAVOURS","SAVEURS","SAPORI","SABORES","AROMEN","SABORES",,,,
436,"ΑΡΑΚΑΣ","PEAS","POIS","PISELLI","GUISANTES","ERBSEN","ERVILHAS",,,,
437,"ΑΚΤΙΝΙΔΙΟ","KIWI","KIWI","KIWI","KIWI","KIWI","QUIVI",,,,
438,"ΑΝΑΝΑΣ","PINEAPPLE","ANANAS","ANANAS","PIÑA","ANANAS","ABACAXI",,,,
440,"ΔΥΟΣΜΟΣ","SPEARMINT","MENTHE VERTE","MENTA VERDE","MENTA VERDE","GRÜNE MINZE","SPEARMINT",,,,
441,"ΚΑΛΑΜΠΟΚΙ","CORN","MAÏS","CEREALE","MAÍZ","MAIS","MILHO",,,,
442,"ΚΑΣΤΑΝΑ","MARRONS","MARRONS","MARRONS","MARRONS","MARRONS","MARRONS",,,,
443,"ΚΕΤΣΑΠ","KETCHUP","KETCHUP","KETCHUP","SALSA DE TOMATE","KETSCHUP","KETCHUP",,,,
444,"ΚΟΥΚΟΥΝΑΡΙ","CONE","CÔNE","CONO","CONO","KEGEL","CONE",,,,
445,"ΚΥΔΩΝΙΑ","QUINCE","COING","COTOGNA","MEMBRILLO","QUITTE","QUINCE",,,,
446,"ΜΑΙΝΤΑΝΟΣ","PARSLEY","PERSIL","PREZZEMOLO","PEREJIL","PETERSILIE","PARSLEY",,,,
447,"ΜΑΝΤΑΡΙΝΙ","MANDARIN","MANDARINE","MANDARINO","MANDARÍN","MANDARINE","MANDARIN",,,,
449,"ΜΥΔΙΑ ΨΥΧΑ","CLAM","PALOURDE","MOLLUSCO","ALMEJA","MUSCHEL","MOLUSCOS",,,,
450,"ΞΥΔΙ","VINEGAR","VINAIGRE","ACETO","VINAGRE","ESSIG","VINAGRE",,,,
451,"ΠΑΣΤΟΥΡΜΑΣ","SEASONED BEEF MEAT","VIANDE CHEVRONNÉE DE BOEUF","CARNE SEASONED DEL MANZO","CARNE CHEVRONNÉ DE LA CARNE DE VACA","REIFES RINDFLEISCH-FLEISCH","CARNE SEASONED DA CARNE",,,,
452,"ΠΕΠΟΝΙ","MELON","MELON","MELONE","MELÓN","MELONE","MELON",,,,
453,"ΠΕΡΚΑ ΦΙΛΕΤΟ","PERCH","PERCHE","PERTICA","PERCA","STANGE","VARA",,,,
455,"ΠΛΙΓΟΥΡΙ","GROATS","GRUAUX","CHICCHI","AVENAS MONDADAS","GRÜTZEN","GROATS",,,,
457,"ΡΟΔΙΑ","POMEGRANATE","GRENADE","MELOGRANO","GRANADA","GRANATAPFEL","POMEGRANATE",,,,
458,"ΣΤΑΦΥΛΙΑ","GRAPE","RAISIN","UVA","UVA","TRAUBE","UVA",,,,
460,"ΣΥΝΑΓΡΙΔΑ","SEA BREAM","DORADE","ABRAMIDE","BREMA DE MAR","SEEBRACHSEN","BREMA DE MAR",,,,
461,"ΤΑΡΑΜΑΣ","PRESERVED FISH ROE","OEUFS DE CONSERVES DE POISSONS","UOVO DI PESCE DEI PESCI CONSERVATI","HUEVAS PRESERVADAS DE LOS PESCADOS","KONSERVIERTER FISCH-ROGEN","ROE PRESERVADOS DOS PEIXES",,,,
462,"ΠΙΠΕΡΙΕΣ","PEPER",,,,,,,,,
463,"ΧΡΩΜΑ Ε120","COLOR Ε120","Ε120","Ε120","Ε120",,"Ε120",,,,
464,"ΛΙΝΑΡΙ",,,,,,,,,,
465,"ΤΖΕΛ ΟΥΔΕΤΕΡΟ",,,,,,,,,,
468,"ΧΡΩΜΑ Ε124","COLOR Ε124","Ε124","Ε124","Ε124","Ε124","Ε124","Ε124","Ε124","Ε124","Ε124"
469,"ΧΡΩΜΑ Ε100","COLOR Ε100","Ε100","Ε100","Ε100","Ε100","Ε100","Ε100","Ε100","Ε100","Ε100"
470,"ΧΡΩΜΑ Ε102","COLOR Ε102","Ε102","Ε102","Ε102","Ε102","Ε102","Ε102","Ε102","Ε102","Ε102"
471,"ΧΡΩΜΑ Ε133","COLOR Ε133","Ε133","Ε133","Ε133","Ε133","Ε133","Ε133","Ε133","Ε133","Ε133"
472,"ΧΡΩΜΑ Ε150","COLOR Ε150","Ε150","Ε150","Ε150","Ε150","Ε150","Ε150","Ε150","Ε150","Ε150"
473,"ΧΡΩΜΑ Ε171","COLOR Ε171","Ε171","Ε171","Ε171","Ε171","Ε171","Ε171","Ε171","Ε171","Ε171"
474,"ΓΛΥΚΕΡΙΝΗ","GLYCERINE","GLYCΙRINE","GLICERINA","GLICERINA","GLYCERIN","GLYCERINE",,,,
475,"ΝΑΤΡΙΟ","SODIUM",,,,,,,,,
476,"ΜΠΥΡΑ","BEER",,,,,,,,,
478,"ΓΑΛ/ΤΗΣ Ε472e","EMULSIFIER Ε472e",,,,,,,,,
479,"ΑΛΕΥΡΙ-ΖΑΧΑΡΗ-ΑΥΓΟ ΣΚΟΝΗ-ΓΑΛΑ ΣΚΟΝΗ 1%",,,,,,,,,,
480,"ΑΛΕΥΡΙ","FLOUR",,,,,,,,,
481,"Ηδυποτο",,,,,,,,,,
482,"Μιγμα(Ζάχαρη,Αλεύρι σίτου,αυγό πλήρες σκόνη,κακαο,",,,,,,,,,,
483,"Κυτταρίνη","Cellolouose",,,,,,,,,
484,"Πάστα Μόκα(Αμυλοσιρόπιο,καφές,φυτ.λιπαρά,Χρωσ.Ε150",,,,,,,,,,
485,"Παστα Φυστίκι(Ζαχαρ,Αμυλοσιροπ,Φυστικια,Αμυγδαλα)",,,,,,,,,,
486,"Πάστα καραμέλα(Ζαχαρη,Χρωστ Ε150)",,,,,,,,,,
487,"Πάστα Βατόμουρο(",,,,,,,,,,
488,"Επικάλυψη καραμέλα(Αμυλοσιρ,Ζαχαρη,ΤροπΑμυλο,Χρ.Ε1",,,,,,,,,,
489,"Επικάλυψη φρούτου (Φρουτο45%,Ζαχαρη,Αμυλοσιρόπιο,Τροποπ.Αμυλο,Χρωστικές¨….)",,,,,,,,,,
490,"ΛΑΧΑΝΙΚΑ","VEGETABLES",,,,,,,,,
491,"CORN FLAKES","CORN FLAKES",,,,,,,,,
492,"ΒΙΟΛΟΓΙΚΟ ΑΛΕΥΡΙ","ORGANIC FLOUR",,,,,,,,,
